accession,tax_selection,group,taxon_name,taxon_id,assembly_level,category,gs,k_gs,bb,k1_bb,hapaxes,entropy,genome_size,acgt_bases,gc_content,annotated_genes,protein_coding_genes,non_coding_genes
GCF_000196655.1,Archaea,archaea,Methanohalobium evestigatum Z-7303,644295,Complete Genome,representative genome,0.173974854,10,0.257227406,21,95.166013352,0.673805459,2406232,2406232,36.5,2453,2342,58
GCF_002214465.1,Archaea,archaea,Thermococcus barossii,54077,Complete Genome,representative genome,0.381700181,8,0.063914667,20,99.766589349,0.188821,1922421,1922418,54.5,2090,2030,52
GCF_000328685.1,Archaea,archaea,Natronococcus occultus SP4,694430,Complete Genome,representative genome,0.320936261,9,0.105753269,22,99.003327496,0.267115727,4314118,4314118,64.5,4365,4203,69
GCF_000022365.1,Archaea,archaea,Thermococcus gammatolerans EJ3,593117,Complete Genome,representative genome,0.39874836,8,0.058096934,20,99.74484433,0.179878394,2045438,2045438,53.5,2228,2167,52
GCF_000193375.1,Archaea,archaea,Thermoproteus uzoniensis 768-20,999630,Complete Genome,representative genome,0.326374897,9,0.066661092,20,99.575525957,0.448466218,1936063,1936063,59.5,2247,2182,49
GCF_000016385.1,Archaea,archaea,Pyrobaculum arsenaticum DSM 13514,340102,Complete Genome,representative genome,0.293330079,8,0.07848665,21,99.618161897,0.173636721,2121076,2121076,55.0,2522,2445,49
GCF_946463545.1,Archaea,archaea,Methanothermococcus thermolithotrophicus DSM 2095,523845,Complete Genome,representative genome,0.125833095,9,0.162404884,20,98.07656246,0.447942715,1706496,1706496,33.0,1729,1671,47
GCF_000300255.2,Archaea,archaea,Candidatus Methanomethylophilus alvi Mx1201,1236689,Complete Genome,representative genome,0.389229732,8,0.140893135,20,98.546239542,0.209516078,1666795,1666792,55.5,1675,1613,52
GCF_000251105.1,Archaea,archaea,Methanocella conradii HZ254,1041930,Complete Genome,representative genome,0.378003656,8,0.167534588,21,98.202250403,0.16011137,2378438,2378438,52.5,2569,2503,58
GCF_000730285.1,Archaea,archaea,Candidatus Nitrososphaera evergladensis SR1,1459636,Complete Genome,representative genome,0.401973732,8,0.108506227,21,99.235737909,0.134843878,2954373,2954373,50.0,3360,3300,52
GCF_022869805.1,Archaea,archaea,Halosolutus halophilus,1552990,Complete Genome,representative genome,0.335634868,9,0.10820944,22,98.890515803,0.240529209,5058678,5058678,64.0,5040,4857,58
GCF_000517625.1,Archaea,archaea,Halostagnicola larsenii XH-48,797299,Complete Genome,representative genome,0.350275325,9,0.181451459,21,96.60773199,0.284613328,4131176,4131176,61.0,4095,3947,55
GCF_000970065.1,Archaea,archaea,Methanosarcina barkeri 227,1434106,Complete Genome,representative genome,0.174938984,9,0.250362136,22,95.60445805,0.2760533,4487566,4487561,39.0,3796,3574,71
GCF_000194625.1,Archaea,archaea,Archaeoglobus veneficus SNP6,693661,Complete Genome,representative genome,0.334017885,8,0.18120164,20,98.122216304,0.187789147,1901943,1901943,47.0,2181,2127,51
GCF_001458655.1,Archaea,archaea,Methanobacterium formicicum,2162,Complete Genome,representative genome,0.286247411,9,0.197818253,21,97.83727335,0.39298918,2494510,2494510,41.0,2462,2401,55
GCF_000327485.1,Archaea,archaea,Methanoregula formicica SMSP,593750,Complete Genome,representative genome,0.36052729,9,0.111798524,21,99.230086946,0.369058915,2820858,2820858,55.0,2909,2837,53
GCF_000186365.1,Archaea,archaea,Desulfurococcus mucosus DSM 2162,765177,Complete Genome,representative genome,0.408092803,8,0.112424898,20,99.309534314,0.248055653,1314639,1314639,53.0,1418,1364,51
GCF_024266705.1,Archaea,archaea,Natrinema gelatinilyticum,2961571,Complete Genome,representative genome,0.318715829,10,0.277802549,22,95.611163008,0.510999827,5443578,5443578,61.0,5331,4943,56
GCF_000145295.1,Archaea,archaea,Methanothermobacter marburgensis str. Marburg,79929,Complete Genome,representative genome,0.49323079,8,0.12490009,20,98.718605749,0.211497182,1639135,1639134,48.5,1783,1718,49
GCF_019823105.1,Archaea,archaea,Halobaculum magnesiiphilum,1017351,Complete Genome,representative genome,0.279551924,9,0.078600398,21,99.491636136,0.276178407,3732450,3732450,68.0,3793,3663,61
GCF_000011105.1,Archaea,archaea,Pyrococcus horikoshii OT3,70601,Complete Genome,representative genome,0.279155846,8,0.084961234,20,99.672761053,0.202905876,1738505,1738505,42.0,1939,1850,70
GCF_000970085.1,Archaea,archaea,Methanosarcina siciliae T4/M,1434120,Complete Genome,representative genome,0.272697819,9,0.247696038,22,95.517103312,0.255462638,5017558,5017558,43.0,4291,4086,67
GCF_000195935.2,Archaea,archaea,Pyrococcus abyssi GE5,272844,Complete Genome,representative genome,0.323756386,8,0.058517076,20,99.791294652,0.200250327,1768562,1768562,44.5,1980,1892,71
GCF_000013445.1,Archaea,archaea,Methanospirillum hungatei JF-1,323259,Complete Genome,representative genome,0.399918144,9,0.28890993,21,95.543621677,0.320514633,3544738,3544738,45.0,3415,3317,67
GCF_000246985.2,Archaea,archaea,Thermococcus litoralis DSM 5473,523849,Complete Genome,representative genome,0.277452756,9,0.167884869,21,98.67250683,0.429120804,2215172,2215128,43.0,2506,2387,52
GCF_000734035.1,Archaea,archaea,Archaeoglobus fulgidus DSM 8774,1344584,Complete Genome,representative genome,0.452246857,8,0.150910512,21,98.689097587,0.163958226,2316287,2316287,48.0,2686,2611,51
GCF_001971705.1,Archaea,archaea,Natronorubrum daqingense,588898,Complete Genome,representative genome,0.367908461,9,0.063344588,21,99.65028657,0.2946909,3835796,3835796,61.5,3788,3708,54
GCF_000317795.1,Archaea,archaea,Caldisphaera lagunensis DSM 15908,1056495,Complete Genome,representative genome,0.132203124,9,0.109116664,20,99.018247689,0.436548281,1546846,1546846,30.0,1567,1513,51
GCF_000021965.1,Archaea,archaea,Methanosphaerula palustris E1-9c,521011,Complete Genome,representative genome,0.373146497,9,0.157547634,21,97.971156698,0.361146154,2922917,2922917,55.5,2881,2751,70
GCF_000769655.1,Archaea,archaea,Thermococcus eurythermalis,1505907,Complete Genome,representative genome,0.406219171,8,0.112045965,21,99.390487102,0.174802832,2126164,2126164,53.5,2334,2245,52
GCF_005222525.1,Archaea,archaea,Metallosphaera prunae,47304,Complete Genome,representative genome,0.30469289,8,0.091819079,21,99.524370776,0.169184406,2202576,2202576,46.0,2414,2341,51
GCF_001488575.1,Archaea,archaea,Halobacterium hubeiense,1407499,Complete Genome,representative genome,0.29878826,9,0.095452158,21,99.351427884,0.314826525,3130345,3130345,66.5,3356,3264,52
GCF_013407165.1,Archaea,archaea,Nitrosopumilus oxyclinae,1959104,Complete Genome,representative genome,0.196764591,9,0.234109797,20,97.953049985,0.44863156,1585110,1585110,33.0,1926,1874,48
GCF_013402875.1,Archaea,archaea,Halobaculum salinum,2743089,Complete Genome,representative genome,0.280442636,9,0.083009215,22,99.419472503,0.253058989,4258755,4258755,68.5,4306,4201,53
GCF_000015805.1,Archaea,archaea,Pyrobaculum calidifontis JCM 11548,410359,Complete Genome,representative genome,0.324381967,9,0.071720925,20,99.603044454,0.451416021,2009313,2009313,57.0,2323,2261,49
GCF_017357525.1,Archaea,archaea,Methanofollis aquaemaris,126734,Complete Genome,representative genome,0.342308891,9,0.154659428,21,98.316411763,0.364025756,2746416,2746416,59.5,2596,2524,56
GCF_002116695.1,Archaea,archaea,Acidianus manzaensis,282676,Complete Genome,representative genome,0.125346653,9,0.131804639,21,98.895381223,0.33675418,2687463,2687463,30.5,2788,2704,51
GCF_000025285.1,Archaea,archaea,Archaeoglobus profundus DSM 5631,572546,Complete Genome,representative genome,0.22920678,9,0.054666865,20,99.731223891,0.511592319,1563423,1563423,42.0,1893,1833,52
GCF_000023945.1,Archaea,archaea,Halorhabdus utahensis DSM 12940,519442,Complete Genome,representative genome,0.299628458,9,0.088049868,21,99.427677464,0.332151375,3116795,3116795,63.0,3054,2978,51
GCF_009762275.1,Archaea,archaea,Haloplanus rallus,1816183,Complete Genome,representative genome,0.277985245,9,0.16668513,21,97.559560257,0.291886769,3560302,3560302,66.5,3697,3574,56
GCF_902383905.1,Archaea,archaea,Candidatus Methanomassiliicoccus intestinalis,1406512,Complete Genome,representative genome,0.208712841,9,0.15715118,20,98.501991322,0.463610999,1931651,1931651,41.5,1896,1838,52
GCF_000026045.1,Archaea,archaea,Natronomonas pharaonis DSM 2160,348780,Complete Genome,representative genome,0.303026125,9,0.160231395,21,97.447407584,0.353656708,2749696,2749696,63.0,2883,2803,51
GCF_000015945.1,Archaea,archaea,Staphylothermus marinus F1,399550,Complete Genome,representative genome,0.16378715,9,0.102934568,20,99.369422432,0.487489623,1570485,1570485,35.5,1691,1636,50
GCF_003058365.1,Archaea,archaea,Halococcoides cellulosivorans,1679096,Complete Genome,representative genome,0.322651554,9,0.099336204,21,99.25617862,0.335927499,2723120,2723120,65.5,2689,2601,69
GCF_000970285.1,Archaea,archaea,Methanosarcina horonobensis HB-1 = JCM 15518,1434110,Complete Genome,representative genome,0.234580734,9,0.19909541,22,97.294716081,0.256019738,5018607,5018607,41.5,4514,4347,69
GCF_003201835.2,Archaea,archaea,Acidianus brierleyi,41673,Complete Genome,representative genome,0.13578785,10,0.340536292,21,94.820414057,0.594416254,2947244,2947244,32.0,3201,3031,51
GCF_000231015.2,Archaea,archaea,Desulfurococcus amylolyticus DSM 16532,768672,Complete Genome,representative genome,0.309528414,8,0.061541675,20,99.693735338,0.238847518,1384116,1384116,45.0,1543,1486,51
GCF_000009185.1,Archaea,archaea,Haloquadratum walsbyi DSM 16790,362976,Complete Genome,representative genome,0.356760387,8,0.186647216,21,97.942892802,0.128007684,3179361,3179361,48.0,2920,2733,53
GCF_000196895.1,Archaea,archaea,Halalkalicoccus jeotgali B3,795797,Complete Genome,representative genome,0.279621129,9,0.218399133,21,95.003240611,0.305887743,3698650,3698637,62.5,3920,3795,54
GCF_008831545.1,Archaea,archaea,Halorussus halophilus,2650975,Complete Genome,representative genome,0.370252932,9,0.081194542,22,99.549211609,0.268007668,4450731,4450731,61.5,4476,4384,57
GCF_000217995.1,Archaea,archaea,Methanosalsum zhilinae DSM 4017,679901,Complete Genome,representative genome,0.239674821,9,0.148062162,21,98.235990617,0.423736614,2138444,2138444,39.0,2075,1986,61
GCF_023167465.1,Archaea,archaea,Methanothermobacter tenebrarum,680118,Complete Genome,representative genome,0.264432386,9,0.107256516,20,99.220412668,0.521364336,1495190,1495190,42.0,1670,1611,45
GCF_000816105.1,Archaea,archaea,Thermococcus guaymasensis DSM 11113,1432656,Complete Genome,representative genome,0.394186179,8,0.077701084,20,99.589149636,0.188032112,1920914,1920914,53.0,2151,2077,52
GCF_000092465.1,Archaea,archaea,Staphylothermus hellenicus DSM 12710,591019,Complete Genome,representative genome,0.180061866,9,0.068991325,20,99.614510162,0.491178874,1580347,1580347,37.0,1693,1633,50
GCF_946300405.1,Archaea,archaea,Thermococcus nautili,195522,Complete Genome,representative genome,0.440321795,8,0.102273617,21,99.557811253,0.174552053,2116557,2116557,54.0,2429,2366,52
GCF_000190315.1,Archaea,archaea,Vulcanisaeta moutnovskia 768-28,985053,Complete Genome,representative genome,0.273749776,9,0.062342731,21,99.680377631,0.420163884,2298983,2298983,42.5,2529,2469,49
GCF_000151105.2,Archaea,archaea,Thermococcus barophilus MP,391623,Complete Genome,representative genome,0.273874962,9,0.055207511,20,99.782385111,0.438098813,2064237,2064237,41.5,2281,2213,52
GCF_023746595.1,Archaea,archaea,Thermococcus argininiproducens,2866384,Complete Genome,representative genome,0.213096961,8,0.091874348,20,99.372118786,0.187056617,1946248,1946248,39.5,2131,2063,52
GCF_024362525.1,Archaea,archaea,Natrononativus amylolyticus,2963434,Complete Genome,representative genome,0.314033894,9,0.073563116,21,99.500983057,0.277431856,3986100,3986100,65.5,4016,3889,56
GCF_019633745.1,Archaea,archaea,Methanofollis formosanus,299308,Chromosome,representative genome,0.349924903,9,0.231009629,21,96.831834799,0.345521185,2965921,2965828,60.5,2687,2612,57
GCF_000017185.1,Archaea,archaea,Methanococcus aeolicus Nankai-3,419665,Complete Genome,representative genome,0.141410539,9,0.158049065,20,98.389020567,0.429515096,1569500,1569500,30.0,1574,1511,49
GCF_000025625.1,Archaea,archaea,Natrialba magadii ATCC 43099,547559,Complete Genome,representative genome,0.31831712,9,0.143773133,22,98.503496859,0.27205746,4443643,4443643,61.0,4252,4111,63
